series,symbol,parameter,condition,min,typ,max,unit,#,confidence,basis,datasheet
CH32H415;CH32H416;CH32H417,ACC_HSI,Accuracy of HSI oscillator (after calibration),T_A = -40℃~85℃,-2.2,,2.2,%,#,confirmed,CH32H417DS0.PDF:zh(p.89)+CH32H417DS0.PDF:en(p.103),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,ACC_HSI,Accuracy of HSI oscillator (after calibration),T_A = 0℃~70℃,-1.6,,1.6,%,#,confirmed,CH32H417DS0.PDF:zh(p.89)+CH32H417DS0.PDF:en(p.103),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,C,Suggested load capacitance with corresponding crystal serial impedance R S,R < 70kΩ S,,,15,pF,#,confirmed,CH32H417DS0.PDF:zh(p.88)+CH32H417DS0.PDF:en(p.102),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,C_ADC,Internal sampling and holding capacitance,,,4.5,,pF,#,confirmed,CH32H417DS0.PDF:zh(p.119)+CH32H417DS0.PDF:en(p.135),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,C_HSADC,Internal sampling and holding capacitance,,,1.1,,pF,#,confirmed,CH32H417DS0.PDF:zh(p.121)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,C_L,Load capacitance when buffer is open,,,,50,pF,#,confirmed,CH32H417DS0.PDF:zh(p.122)+CH32H417DS0.PDF:en(p.138),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,C_LOAD,Suggested load capacitance with corresponding crystal serial impedance R S,R = 60Ω(1) S,,20,,pF,#,confirmed,CH32H417DS0.PDF:zh(p.88)+CH32H417DS0.PDF:en(p.102),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,C_in(HSE),XI input capacitance,,,5,,pF,#,confirmed,CH32H417DS0.PDF:zh(p.87)+CH32H417DS0.PDF:en(p.101),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,C_in(LSE),OSC32_IN input capacitance,,,5,,pF,#,reference,CH32H417DS0.PDF:en(p.101),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,DuCy_(HSE),Duty cycle,,,50,,%,#,confirmed,CH32H417DS0.PDF:zh(p.87)+CH32H417DS0.PDF:en(p.101),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,DuCy_HSI,Duty cycle,,45,50,55,%,#,confirmed,CH32H417DS0.PDF:zh(p.89)+CH32H417DS0.PDF:en(p.103),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,DuCy_LSE,Duty Cycle,,,50,,%,#,reference,CH32H417DS0.PDF:en(p.101),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,DuCy_LSI,Duty Cycle,,45,50,55,%,#,confirmed,CH32H417DS0.PDF:zh(p.89)+CH32H417DS0.PDF:en(p.103),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,ED,Differential nonlinear error,,,±2,±4,LSB,#,confirmed,CH32H417DS0.PDF:zh(p.122)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,EL,Integral nonlinear error,,,±3,±4,LSB,#,confirmed,CH32H417DS0.PDF:zh(p.122)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,EO,Offset error,"R < 0.4kΩ, AIN V = 3.3V DD33A",,±4,±9,LSB,#,confirmed,CH32H417DS0.PDF:zh(p.122)+CH32H417DS0.PDF:en(p.137),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,F_CORE1,Core RISC-V5F frequency,LDO_VDDK = 011 (Default),,,400,MHz,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.93),CH32H417DS0.PDF
